# t,R(g),TS#(g),P(g)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.135410126110460949e-11,9.687406659318663626e-01,0.000000000000000000e+00,3.125933406813369286e-02
1.189352786498108391e-11,9.673050787016854724e-01,0.000000000000000000e+00,3.269492129831454152e-02
1.245858230625995316e-11,9.658059934454473749e-01,0.000000000000000000e+00,3.419400655455266669e-02
1.305048214826715191e-11,9.642408346541148090e-01,0.000000000000000000e+00,3.575916534588528817e-02
1.367050280003872801e-11,9.626069449114869059e-01,0.000000000000000000e+00,3.739305508851314269e-02
1.431998026453612920e-11,9.609015845691691871e-01,0.000000000000000000e+00,3.909841543083091009e-02
1.500031401742760359e-11,9.591219316979104903e-01,0.000000000000000000e+00,4.087806830208957215e-02
1.571297002263877200e-11,9.572650823485920890e-01,0.000000000000000000e+00,4.273491765140796650e-02
1.645948389117023459e-11,9.553280511584603119e-01,0.000000000000000000e+00,4.467194884153970202e-02
1.724146418998870931e-11,9.533077723405075643e-01,0.000000000000000000e+00,4.669222765949250509e-02
1.806059590812162929e-11,9.512011029852815991e-01,0.000000000000000000e+00,4.879889701471849112e-02
1.891864408742383697e-11,9.490048656307004116e-01,0.000000000000000000e+00,5.099513436929960231e-02
1.981745762583984772e-11,9.467157064596513072e-01,0.000000000000000000e+00,5.328429354034873444e-02
2.075897326135682934e-11,9.443302617115812980e-01,0.000000000000000000e+00,5.566973828841872973e-02
2.174521974523284258e-11,9.418451010781042632e-01,0.000000000000000000e+00,5.815489892189583399e-02
2.270820252220921899e-11,9.394319331514808802e-01,0.000000000000000000e+00,6.056806684851912675e-02
2.277832221349265216e-11,9.392567322741351976e-01,0.000000000000000000e+00,6.074326772586484402e-02
2.386050676611072761e-11,9.365616063782944423e-01,0.000000000000000000e+00,6.343839362170559937e-02
2.499410526374848707e-11,9.337561240029337295e-01,0.000000000000000000e+00,6.624387599706628438e-02
2.618156035238169650e-11,9.308366423548570801e-01,0.000000000000000000e+00,6.916335764514300322e-02
2.742543072664491389e-11,9.277994832476783582e-01,0.000000000000000000e+00,7.220051675232164179e-02
2.872839664323431926e-11,9.246409421255677996e-01,0.000000000000000000e+00,7.535905787443220039e-02
3.009326569624900513e-11,9.213572981556039654e-01,0.000000000000000000e+00,7.864270184439610401e-02
3.152297886691534308e-11,9.179448254417661435e-01,0.000000000000000000e+00,8.205517455823391204e-02
3.302061686073012078e-11,9.143998054073777526e-01,0.000000000000000000e+00,8.560019459262234454e-02
3.406230378331383010e-11,9.119517661922259544e-01,0.000000000000000000e+00,8.804823380777407338e-02
3.458940674567761484e-11,9.107185403841032700e-01,0.000000000000000000e+00,8.928145961589677160e-02
3.623272890582438126e-11,9.068973684338819119e-01,0.000000000000000000e+00,9.310263156611810198e-02
3.795412432527521599e-11,9.029326794148121449e-01,0.000000000000000000e+00,9.706732058518793838e-02
3.975730221818557253e-11,8.988210149840529795e-01,0.000000000000000000e+00,1.011789850159470067e-01
4.164614802127123932e-11,8.945588929111485399e-01,0.000000000000000000e+00,1.054411070888515434e-01
4.362473176603753266e-11,8.901429128888097564e-01,0.000000000000000000e+00,1.098570871111902852e-01
4.541640504441843798e-11,8.861865996462684469e-01,0.000000000000000000e+00,1.138134003537316224e-01
4.569731684876800011e-11,8.855699364165525722e-01,0.000000000000000000e+00,1.144300635834474555e-01
4.786836921717014408e-11,8.808369980324820547e-01,0.000000000000000000e+00,1.191630019675180008e-01
5.014256699347322463e-11,8.759413323794128514e-01,0.000000000000000000e+00,1.240586676205871902e-01
5.252481055471369169e-11,8.708804025236773771e-01,0.000000000000000000e+00,1.291195974763225951e-01
5.502023309192901447e-11,8.656519293040542129e-01,0.000000000000000000e+00,1.343480706959458149e-01
5.677050630552304586e-11,8.620286651904405240e-01,0.000000000000000000e+00,1.379713348095595593e-01
5.763421167101249952e-11,8.602539214085730412e-01,0.000000000000000000e+00,1.397460785914270420e-01
6.037237881906280110e-11,8.546847057805461167e-01,0.000000000000000000e+00,1.453152942194539110e-01
6.324063466119397266e-11,8.489429578390494946e-01,0.000000000000000000e+00,1.510570421609505332e-01
6.624515963395813077e-11,8.430278689754954202e-01,0.000000000000000000e+00,1.569721310245046075e-01
6.812460756662766020e-11,8.393786607918815035e-01,0.000000000000000000e+00,1.606213392081185520e-01
6.939242780277536356e-11,8.369388683454144218e-01,0.000000000000000000e+00,1.630611316545856337e-01
7.268922081206671609e-11,8.306760088949890486e-01,0.000000000000000000e+00,1.693239911050110347e-01
7.614264249814977004e-11,8.242400201793685932e-01,0.000000000000000000e+00,1.757599798206314623e-01
7.947870882773226162e-11,8.181414115436245194e-01,0.000000000000000000e+00,1.818585884563755639e-01
7.976013419638418447e-11,8.176322063996886991e-01,0.000000000000000000e+00,1.823677936003113564e-01
8.354949077555062370e-11,8.108544762588107968e-01,0.000000000000000000e+00,1.891455237411892032e-01
8.751887743401354086e-11,8.039093670176964412e-01,0.000000000000000000e+00,1.960906329823035865e-01
9.083281008883687596e-11,7.982297833244108576e-01,0.000000000000000000e+00,2.017702166755891979e-01
9.167684729385957935e-11,7.968002770482848218e-01,0.000000000000000000e+00,2.031997229517152614e-01
